datetime_est,clds,primary_wave_height,max_temp,min_temp,primary_wave_period,pressure_desc,expire_time_gmt,terse_phrase,obs_id,qualifier,wdir,gust,primary_swell_direction,primary_swell_period,icon_extd,primary_swell_height,blunt_phrase,valid_time_gmt,wc,precip_total,vis,wx_icon,snow_hrly,obs_name,wspd,precip_hrly,secondary_swell_height,water_temp,wdir_cardinal,wx_phrase,temp,uv_desc,feels_like,pressure_tend,heat_index,rh,pressure,secondary_swell_direction,secondary_swell_period,dewPt,qualifier_svrty,key,day_ind,class,uv_index
2013-12-31 23:51:00,CLR,,,21,,,1388559060,,KNYC,,290,18,,,3300,,,1388551860,16,,10,33,,Nyc/Central Park,10,,,,WNW,Fair,26,Low,16,,26,41,30.1,,,5,,KNYC,N,observation,0
2014-01-01 00:51:00,CLR,,,25,,Rising,1388562660,,KNYC,,260,,,,3300,,,1388555460,25,,10,33,,Nyc/Central Park,3,,,,W,Fair,25,Low,25,1,25,45,30.11,,,6,,KNYC,N,observation,0
2014-01-01 01:51:00,CLR,,,,,,1388566260,,KNYC,,280,20,,,3300,,,1388559060,16,,10,33,,Nyc/Central Park,9,,,,W,Fair,25,Low,16,,25,43,30.14,,,5,,KNYC,N,observation,0
2014-01-01 02:51:00,CLR,,,,,,1388569860,,KNYC,,300,17,,,3300,,,1388562660,14,,10,33,,Nyc/Central Park,9,,,,WNW,Fair,24,Low,14,,24,46,30.16,,,6,,KNYC,N,observation,0
2014-01-01 03:51:00,CLR,,,,,Rising,1388573460,,KNYC,,280,,,,3300,,,1388566260,14,,10,33,,Nyc/Central Park,9,,,,W,Fair,24,Low,14,1,24,46,30.17,,,6,,KNYC,N,observation,0
2014-01-01 04:51:00,CLR,,,,,,1388577060,,KNYC,,,,,,3300,,,1388569860,24,,10,33,,Nyc/Central Park,,,,,CALM,Fair,24,Low,24,,24,48,30.18,,,7,,KNYC,N,observation,0
2014-01-01 05:51:00,CLR,,,,,,1388580660,,KNYC,,,,,,3300,,,1388573460,24,,10,33,,Nyc/Central Park,3,,,,VAR,Fair,24,Low,24,,24,53,30.19,,,9,,KNYC,N,observation,0
2014-01-01 06:51:00,CLR,,25,24,,Rising,1388584260,,KNYC,,270,,,,3300,,,1388577060,19,,10,33,,Nyc/Central Park,5,,,,W,Fair,25,Low,19,1,25,51,30.2,,,9,,KNYC,N,observation,0
2014-01-01 07:51:00,CLR,,,,,,1388587860,,KNYC,,,,,,3300,,,1388580660,21,,10,33,,Nyc/Central Park,5,,,,VAR,Fair,26,Low,21,,26,53,30.21,,,11,,KNYC,N,observation,0
2014-01-01 08:51:00,CLR,,,,,,1388591460,,KNYC,,,,,,3400,,,1388584260,22,,10,34,,Nyc/Central Park,6,,,,VAR,Fair,28,Low,22,,28,51,30.22,,,12,,KNYC,D,observation,0
2014-01-01 09:51:00,CLR,,,,,Rising,1388595060,,KNYC,,280,,,,3400,,,1388587860,19,,10,34,,Nyc/Central Park,9,,,,W,Fair,28,Low,19,1,28,51,30.23,,,12,,KNYC,D,observation,0
2014-01-01 10:51:00,CLR,,,,,,1388598660,,KNYC,,270,,,,3400,,,1388591460,20,,10,34,,Nyc/Central Park,10,,,,W,Fair,29,Low,20,,29,49,30.22,,,12,,KNYC,D,observation,0
2014-01-01 11:51:00,BKN,,,,,,1388602260,,KNYC,,290,,,,2800,,,1388595060,23,,10,28,,Nyc/Central Park,7,,,,WNW,Mostly Cloudy,30,,23,,30,47,30.2,,,12,,KNYC,D,observation,-72
2014-01-01 12:51:00,FEW,,31,25,,Falling Rapidly,1388605860,,KNYC,,,,,,3400,,,1388598660,31,,10,34,,Nyc/Central Park,,,,,CALM,Fair,31,,31,2,31,50,30.18,,,14,,KNYC,D,observation,-20
2014-01-01 13:51:00,FEW,,,,,,1388609460,,KNYC,,240,,,,3400,,,1388602260,25,,10,34,,Nyc/Central Park,8,,,,WSW,Fair,32,,25,,,50,30.17,,,15,,KNYC,D,observation,-13
2014-01-01 14:51:00,CLR,,,,,,1388613060,,KNYC,,300,,,,3400,,,1388605860,25,,10,34,,Nyc/Central Park,8,,,,WNW,Fair,32,Low,25,,,52,30.16,,,16,,KNYC,D,observation,0
2014-01-01 15:51:00,OVC,,,,,Steady,1388616660,,KNYC,,,,,,2600,,,1388609460,,,10,26,,Nyc/Central Park,,,,,CALM,Cloudy,32,,,0,,52,30.16,,,16,,KNYC,D,observation,-6
2014-01-01 17:51:00,CLR,,,,,,1388623860,,KNYC,,,,,,3300,,,1388616660,33,,10,33,,Nyc/Central Park,,,,,CALM,Fair,33,Low,33,,33,48,30.15,,,15,,KNYC,N,observation,0
2014-01-01 18:51:00,CLR,,33,31,,Falling,1388627460,,KNYC,,50,,,,3300,,,1388620260,27,,10,33,,Nyc/Central Park,5,,,,NE,Fair,32,Low,27,2,,54,30.14,,,17,,KNYC,N,observation,0
2014-01-01 19:51:00,SCT,,,,,,1388631060,,KNYC,,60,,,,2900,,,1388623860,28,,10,29,,Nyc/Central Park,6,,,,ENE,Partly Cloudy,33,Low,28,,33,54,30.14,,,18,,KNYC,N,observation,0
2014-01-01 20:51:00,OVC,,,,,,1388634660,,KNYC,,,,,,2600,,,1388627460,27,,10,26,,Nyc/Central Park,5,,,,VAR,Cloudy,32,Low,27,,,56,30.13,,,18,,KNYC,N,observation,0
2014-01-01 21:51:00,OVC,,,,,Falling Rapidly,1388638260,,KNYC,,70,,,,2600,,,1388631060,26,,10,26,,Nyc/Central Park,7,,,,ENE,Cloudy,32,Low,26,2,,59,30.11,,,19,,KNYC,N,observation,0
2014-01-01 21:58:00,OVC,,,,,,1388638680,,KNYC,,60,,,,2600,,,1388631480,25,,10,26,,Nyc/Central Park,8,,,,ENE,Cloudy,32,Low,25,,,59,30.14,,,19,,KNYC,N,observation,0
2014-01-01 22:51:00,OVC,,,,,,1388641860,,KNYC,,60,,,,2600,,,1388634660,23,,10,26,,Nyc/Central Park,12,,,,ENE,Cloudy,32,Low,23,,,59,30.1,,,19,,KNYC,N,observation,0
2014-01-01 23:51:00,OVC,,33,24,,,1388645460,,KNYC,,60,,,,2600,,,1388638260,25,,10,26,,Nyc/Central Park,8,,,,ENE,Cloudy,32,Low,25,,,59,30.08,,,19,,KNYC,N,observation,0
2014-01-02 00:51:00,OVC,,33,,,Falling Rapidly,1388649060,,KNYC,,,18,,,2600,,,1388641860,28,,10,26,,Nyc/Central Park,6,,,,VAR,Cloudy,33,Low,28,2,33,59,30.05,,,20,,KNYC,N,observation,0
2014-01-02 01:51:00,OVC,,,,,,1388652660,,KNYC,,70,18,,,2600,,,1388645460,25,,10,26,,Nyc/Central Park,8,,,,ENE,Cloudy,32,Low,25,,,61,30.03,,,20,,KNYC,N,observation,0
2014-01-02 02:51:00,OVC,,,,,,1388656260,,KNYC,,70,17,,,2600,,,1388649060,25,,10,26,,Nyc/Central Park,8,,,,ENE,Cloudy,32,Low,25,,,66,30.01,,,22,,KNYC,N,observation,0
2014-01-02 03:51:00,OVC,,,,,Falling Rapidly,1388659860,,KNYC,,70,23,,,2600,,,1388652660,19,,7,26,,Nyc/Central Park,16,,,,ENE,Cloudy,30,Low,19,2,30,75,29.99,,,23,,KNYC,N,observation,0
2014-01-02 04:15:00,OVC,,,,,,1388661300,,KNYC,,70,21,,,2600,,,1388654100,19,,5,26,,Nyc/Central Park,12,0.0,,,ENE,Cloudy,29,Low,19,,29,78,30.0,,,23,,KNYC,N,observation,0
2014-01-02 04:51:00,OVC,,,,,,1388663460,,KNYC,,70,22,,,2600,,,1388656260,20,,8,26,,Nyc/Central Park,10,0.0,,,ENE,Cloudy,29,Low,20,,29,75,29.97,,,22,,KNYC,N,observation,0
2014-01-02 05:20:00,OVC,,,,,,1388665200,,KNYC,,60,21,,,2600,,,1388658000,17,,1,26,,Nyc/Central Park,13,0.0,,,ENE,Cloudy,28,Low,17,,28,78,29.98,,,22,,KNYC,N,observation,0
2014-01-02 05:36:00,OVC,,,,,,1388666160,,KNYC,,50,22,,,2600,,,1388658960,15,,3,26,,Nyc/Central Park,16,0.01,,,NE,Cloudy,27,Low,15,,27,81,29.98,,,22,,KNYC,N,observation,0
2014-01-02 05:51:00,OVC,,,,,,1388667060,,KNYC,,60,22,,,2600,,,1388659860,19,,8,26,,Nyc/Central Park,9,0.02,,,ENE,Cloudy,28,Low,19,,28,78,29.95,,,22,,KNYC,N,observation,0
2014-01-02 06:51:00,OVC,,33,27,,Falling,1388670660,,KNYC,,70,24,,,2600,,,1388663460,14,,10,26,,Nyc/Central Park,17,,,,ENE,Cloudy,27,Low,14,2,27,78,29.94,,,21,,KNYC,N,observation,0
2014-01-02 07:51:00,OVC,,,,,,1388674260,,KNYC,,50,22,,,2600,,,1388667060,15,,10,26,,Nyc/Central Park,15,,,,NE,Cloudy,27,,15,,27,75,29.92,,,20,,KNYC,N,observation,-4
2014-01-02 08:51:00,OVC,,,,,,1388677860,,KNYC,,70,23,,,2600,,,1388670660,15,,10,26,,Nyc/Central Park,15,,,,ENE,Cloudy,27,,15,,27,72,29.92,,,19,,KNYC,D,observation,-18
2014-01-02 09:51:00,OVC,,,,,Falling,1388681460,,KNYC,,50,24,,,2600,,,1388674260,14,,10,26,,Nyc/Central Park,14,,,,NE,Cloudy,26,,14,2,26,78,29.9,,,20,,KNYC,D,observation,-50
2014-01-02 10:51:00,OVC,,,,,,1388685060,,KNYC,,60,24,,,2600,,,1388677860,16,,10,26,,Nyc/Central Park,10,,,,ENE,Cloudy,26,,16,,26,75,29.86,,,19,,KNYC,D,observation,-82
