	LocationID	Borough	Zone	service_zone	LAT	LON
0	1	EWR	Newark Airport	EWR	40.6895314	-74.1744624
1	2	Queens	Jamaica Bay	Boro Zone	40.702677	-73.7889689
2	3	Bronx	Allerton/Pelham Gardens	Boro Zone	40.8652943	-73.8462455
3	4	Manhattan	Alphabet City	Yellow Zone	40.7258428	-73.9774916
4	5	Staten Island	Arden Heights	Boro Zone	40.5567951	-74.1739057
5	6	Staten Island	Arrochar/Fort Wadsworth	Boro Zone	40.6012117	-74.0579185
6	7	Queens	Astoria	Boro Zone	40.7643574	-73.9234619
7	8	Queens	Astoria Park	Boro Zone	40.7792459	-73.9229654
8	9	Queens	Auburndale	Boro Zone	40.7282239	-73.7948516
9	10	Queens	Baisley Park	Boro Zone	40.6737751	-73.786025
10	11	Brooklyn	Bath Beach	Boro Zone	40.6045267	-74.004258
11	12	Manhattan	Battery Park	Yellow Zone	40.7032775	-74.0170279
12	13	Manhattan	Battery Park City	Yellow Zone	40.7115786	-74.0158441
13	14	Brooklyn	Bay Ridge	Boro Zone	40.6261638	-74.0329499
14	15	Queens	Bay Terrace/Fort Totten	Boro Zone	40.7897211	-73.7889647
15	16	Queens	Bayside	Boro Zone	40.7585569	-73.7654367
16	17	Brooklyn	Bedford	Boro Zone	40.6872176	-73.9417735
17	18	Bronx	Bedford Park	Boro Zone	40.8700999	-73.8856912
18	19	Queens	Bellerose	Boro Zone	40.7320207	-73.7183639
19	20	Bronx	Belmont	Boro Zone	40.8523198	-73.88601
20	21	Brooklyn	Bensonhurst East	Boro Zone	40.6568312	-73.8830701
21	22	Brooklyn	Bensonhurst West	Boro Zone	40.7878788	-74.0143064
22	23	Staten Island	Bloomfield/Emerson Hill	Boro Zone	40.6126039	-74.1781995
23	24	Manhattan	Bloomingdale	Yellow Zone	40.7988958	-73.9697795
24	25	Brooklyn	Boerum Hill	Boro Zone	40.6848689	-73.9844722
25	26	Brooklyn	Borough Park	Boro Zone	40.6323009	-73.9888797
26	27	Queens	Breezy Point/Fort Tilden/Riis Beach	Boro Zone	40.5616379	-73.8953425
27	28	Queens	Briarwood/Jamaica Hills	Boro Zone	40.7085435	-73.8188121
28	29	Brooklyn	Brighton Beach	Boro Zone	40.5780706	-73.9596565
29	30	Queens	Broad Channel	Boro Zone	40.6158335	-73.8213213
30	31	Bronx	Bronx Park	Boro Zone	40.8608918	-73.8706286
31	32	Bronx	Bronxdale	Boro Zone	40.8506558	-73.8665241
32	33	Brooklyn	Brooklyn Heights	Boro Zone	40.6960105	-73.9932872
33	34	Brooklyn	Brooklyn Navy Yard	Boro Zone	40.7020737	-73.9708292
34	35	Brooklyn	Brownsville	Boro Zone	40.66308	-73.9095279
35	36	Brooklyn	Bushwick North	Boro Zone	40.6944282	-73.9212858
36	37	Brooklyn	Bushwick South	Boro Zone	40.6944282	-73.9212858
37	38	Queens	Cambria Heights	Boro Zone	40.692158	-73.7330753
38	39	Brooklyn	Canarsie	Boro Zone	40.6402325	-73.9060579
